Fecha;Región;Analizados;Casos Confirmados;Fallecidos
6/03/20;Lima;68;1;
6/03/20;Callao;1;;
6/03/20;Lambayeque;2;;
6/03/20;Amazonas;1;;
6/03/20;Apurímac;1;;
6/03/20;Arequipa;2;;
6/03/20;Loreto;1;;
6/03/20;San Martín;1;;
6/03/20;Ucayali;2;;
6/03/20;Junín;3;;
6/03/20;Cusco;6;;
6/03/20;Puno;1;;
6/03/20;Tacna;6;;
7/03/20;Lima;;4;
7/03/20;Arequipa;;1;
8/03/20;Lima;;1;
9/03/20;Lima;;2;
10/03/20;Lima;;2;
11/03/20;Lima;;4;
11/03/20;Arequipa;;1;
11/03/20;Ica;;1;
12/03/20;Lima;;5;
13/03/20;Lima;;15;
13/03/20;Cusco;;1;
14/03/20;Lima;;5;
15/03/20;Lima;;21;
15/03/20;Callao;;2;
15/03/20;Áncash;;1;
15/03/20;La Libertad;;1;
15/03/20;Lambayeque;;1;
15/03/20;Piura;;2;
16/03/20;Lima;;12;
16/03/20;Lambayeque;;2;
16/03/20;Callao;;1;
17/03/20;Lima;;26;
17/03/20;Lambayeque;;3;
17/03/20;Callao;;1;
17/03/20;Loreto;;1;
18/03/20;Lima;;15;
18/03/20;Loreto;;9;
18/03/20;Áncash;;1;
18/03/20;Callao;;1;
18/03/20;San Martín;;1;
18/03/20;Madre de Dios;;1;
19/03/20;Lima;;83;3
19/03/20;Cusco;;3;
19/03/20;Áncash;;1;
19/03/20;Arequipa;;1;
19/03/20;Loreto;;1;
20/03/20;Lima;;18;1
20/03/20;Áncash;;1;
20/03/20;Loreto;;1;
20/03/20;Junín;;9;
21/03/20;Lima;;29;
21/03/20;Callao;;1;
21/03/20;Arequipa;;1;
21/03/20;La Libertad;;3;
21/03/20;Lambayeque;;2;
21/03/20;Piura;;16;1
21/03/20;Loreto;;2;
21/03/20;Junín;;1;
22/03/20;Lima;;37;
22/03/20;Arequipa;;3;
22/03/20;Piura;;1;
22/03/20;Huánuco;;2;
22/03/20;Loreto;;2;
23/03/20;Lima;;27;
23/03/20;Callao;;2;
23/03/20;Cusco;;2;
23/03/20;Ica;;1;
24/03/20;Arequipa;;2;
24/03/20;La Libertad;;1;1
24/03/20;Lima;;15;1
24/03/20;Tumbes;;3;
