Fecha;Region;Analizados;Casos Confirmados;Recuperados;Fallecidos
2020/03/06;Lima;68;1;;
2020/03/06;Callao;1;;;
2020/03/06;Lambayeque;2;;;
2020/03/06;Amazonas;1;;;
2020/03/06;Apurímac;1;;;
2020/03/06;Arequipa;2;;;
2020/03/06;Loreto;1;;;
2020/03/06;San Martín;1;;;
2020/03/06;Ucayali;2;;;
2020/03/06;Junín;3;;;
2020/03/06;Cusco;6;;;
2020/03/06;Puno;1;;;
2020/03/06;Tacna;6;;;
2020/03/07;Lima;;4;;
2020/03/07;Arequipa;;1;;
2020/03/08;Lima;;1;;
2020/03/09;Lima;;2;;
2020/03/10;Lima;;2;;
2020/03/11;Lima;;4;;
2020/03/11;Arequipa;;1;;
2020/03/11;Ica;;1;;
2020/03/12;Lima;;5;;
2020/03/13;Lima;;15;;
2020/03/13;Cusco;;1;;
2020/03/14;Lima;;5;;
2020/03/15;Lima;;21;;
2020/03/15;Callao;;2;;
2020/03/15;Áncash;;1;;
2020/03/15;La Libertad;;1;;
2020/03/15;Lambayeque;;1;;
2020/03/15;Piura;;2;;
2020/03/16;Lima;;12;1;
2020/03/16;Lambayeque;;2;;
2020/03/16;Callao;;1;;
2020/03/17;Lima;;26;;
2020/03/17;Lambayeque;;3;;
2020/03/17;Callao;;1;;
2020/03/17;Loreto;;1;;
2020/03/18;Lima;;15;;
2020/03/18;Loreto;;9;;
2020/03/18;Áncash;;1;;
2020/03/18;Callao;;1;;
2020/03/18;San Martín;;1;;
2020/03/18;Madre de Dios;;1;;
2020/03/19;Lima;;83;;3
2020/03/19;Cusco;;3;;
2020/03/19;Áncash;;1;;
2020/03/19;Arequipa;;1;;
2020/03/19;Loreto;;1;;
2020/03/20;Lima;;18;;1
2020/03/20;Áncash;;1;;
2020/03/20;Loreto;;1;;
2020/03/20;Junín;;9;;
2020/03/21;Lima;;29;;
2020/03/21;Callao;;1;;
2020/03/21;Arequipa;;1;;
2020/03/21;La Libertad;;3;;
2020/03/21;Lambayeque;;2;;
2020/03/21;Piura;;16;;1
2020/03/21;Loreto;;2;;
2020/03/21;Junín;;1;;
2020/03/22;Lima;;37;;
2020/03/22;Arequipa;;3;;
2020/03/22;Piura;;1;;
2020/03/22;Huánuco;;2;;
2020/03/22;Loreto;;2;;
2020/03/23;Lima;;27;;
2020/03/23;Callao;;2;;
2020/03/23;Cusco;;2;;
2020/03/23;Ica;;1;;
2020/03/24;Arequipa;;2;;
2020/03/24;La Libertad;;1;;1
2020/03/24;Lima;;15;;1
2020/03/24;Tumbes;;3;;
2020/03/25;Áncash;;1;;
2020/03/25;Arequipa;;1;;
2020/03/25;Cajamarca;;1;;
2020/03/25;Callao;;2;;
2020/03/25;Cusco;;4;;1
2020/03/25;Junín;;1;;
2020/03/25;La Libertad;;1;;
2020/03/25;Lambayeque;;4;;
2020/03/25;Lima;;47;;1
2020/03/25;Loreto;;2;;
2020/03/26;Áncash;;1;;
2020/03/26;Arequipa;;5;;
2020/03/26;Callao;;5;;
2020/03/26;Ica;;1;;
2020/03/26;La Libertad;;3;;
2020/03/26;Lima;;84;;
2020/03/26;Piura;;1;;
2020/03/27;Lima;;41;;1
2020/03/27;La Libertad;;;;1
2020/03/27;Pasco;;1;;
2020/03/27;Callao;;2;;
2020/03/27;Loreto;;5;;
2020/03/27;Huánuco;;2;;
2020/03/27;Junín;;1;;
2020/03/27;Lambayeque;;1;;
2020/03/27;Tumbes;;2;;
2020/03/27;;;;4;
2020/03/28;Lambayeque;;2;;1
2020/03/28;Lima;;24;6;2
2020/03/28;Callao;;1;;1
2020/03/28;Cusco;;1;5;1
2020/03/28;Ica;;1;;
2020/03/28;La Libertad;;1;;
2020/03/28;Loreto;;4;;
2020/03/28;San Martín;;1;;
2020/03/28;Tumbes;;1;;
2020/03/29;Áncash;;;;1
2020/03/29;Ayacucho;;1;;
2020/03/29;Callao;;11;;
2020/03/29;Cusco;;6;;
2020/03/29;Ica;;1;;
2020/03/29;Junín;;1;;
2020/03/29;La Libertad;;3;;
2020/03/29;Lambayeque;;7;;
2020/03/29;Lima;;121;;1
2020/03/29;Loreto;;25;;
2020/03/29;Piura;;1;;
2020/03/29;San Martín;;1;;
2020/03/29;Tacna;;1;;
2020/03/29;Tumbes;;2;;
2020/03/30;Áncash;;5;;
2020/03/30;Arequipa;;6;;
2020/03/30;Callao;;-5;;1
2020/03/30;Cusco;;8;;
2020/03/30;La Libertad;;2;;
2020/03/30;Lima;;79;;3
2020/03/30;Loreto;;1;;2
2020/03/30;San Martín;;2;;
2020/03/30;;;;37;
2020/03/31;Arequipa;;5;;
2020/03/31;Callao;;1;;1
2020/03/31;Cusco;;1;;
2020/03/31;Huánuco;;2;;
2020/03/31;Junín;;4;;
2020/03/31;La Libertad;;4;;
2020/03/31;Lambayeque;;8;;
2020/03/31;Lima;;81;;3
2020/03/31;Loreto;;5;;
2020/03/31;San Martín;;1;;1
2020/03/31;Tacna;;1;;
2020/03/31;Tumbes;;2;;1
2020/03/31;;;;341;
2020/04/01;;;;53;
2020/04/01;Áncash;;4;;
2020/04/01;Arequipa;;4;;
2020/04/01;Cajamarca;;1;;
2020/04/01;Callao;;12;;2
2020/04/01;Cusco;;8;;
2020/04/01;Huancavelica;;1;;
2020/04/01;Ica;;3;;
2020/04/01;La Libertad;;13;;
2020/04/01;Lambayeque;;4;;1
2020/04/01;Lima;;191;;5
2020/04/01;Loreto;;8;;
2020/04/01;Piura;;5;;
2020/04/01;Tacna;;1;;
2020/04/01;Tumbes;;3;;
