Region;Casos Confirmados;Activos;Recuperados;Fallecidos
Amazonas;0;0;0;0
Áncash;15;14;0;1
Apurímac;0;0;0;0
Arequipa;30;29;0;1
Ayacucho;1;1;0;0
Cajamarca;2;2;0;0
Callao;37;32;0;5
Cusco;34;27;5;2
Huancavelica;1;1;0;0
Huánuco;6;6;0;0
Ica;8;8;0;0
Junín;17;17;0;0
La Libertad;32;29;0;3
Lambayeque;34;31;0;3
Lima;990;956;7;27
Loreto;66;64;0;2
Madre de Dios;1;1;0;0
Moquegua;0;0;0;0
Pasco;1;1;0;0
Piura;26;25;0;1
Puno;0;0;0;0
San Martín;6;5;0;1
Tacna;3;3;0;0
Tumbes;13;12;0;1
Ucayali;0;0;0;0
