Region;Casos Confirmados;Activos;Recuperados;Fallecidos
Amazonas;0;0;0;0
Áncash;6;6;0;0
Apurímac;0;0;0;0
Arequipa;15;15;0;0
Ayacucho;0;0;0;0
Cajamarca;1;1;0;0
Callao;18;17;0;1
Cusco;11;9;0;2
Huancavelica;0;0;0;0
Huánuco;4;4;0;0
Ica;4;4;0;0
Junín;12;12;0;0
La Libertad;10;8;0;2
Lambayeque;15;14;0;1
Lima;518;508;1;9
Loreto;27;27;0;0
Madre de Dios;1;1;0;0
Moquegua;0;0;0;0
Pasco;1;1;0;0
Piura;20;19;0;1
Puno;0;0;0;0
San Martín;2;2;0;0
Tacna;0;0;0;0
Tumbes;6;6;0;0
Ucayali;0;0;0;0
