Region;Casos Confirmados;Activos;Recuperados;Fallecidos
Amazonas;0;0;0;0
Áncash;11;10;0;1
Apurímac;0;0;0;0
Arequipa;21;21;0;0
Ayacucho;1;1;0;0
Cajamarca;1;1;0;0
Callao;24;22;0;2
Cusco;25;18;5;2
Huancavelica;0;0;0;0
Huánuco;4;4;0;0
Ica;5;5;0;0
Junín;13;13;0;0
La Libertad;15;13;0;2
Lambayeque;22;21;0;1
Lima;718;698;7;13
Loreto;53;51;0;2
Madre de Dios;1;1;0;0
Moquegua;0;0;0;0
Pasco;1;1;0;0
Piura;21;20;0;1
Puno;0;0;0;0
San Martín;5;5;0;0
Tacna;1;1;0;0
Tumbes;8;8;0;0
Ucayali;0;0;0;0
