Fecha;Pruebas Realizadas;Negativos Acumulados;Confirmados Acumulados;Recuperados Acumulados;Fallecidos Acumulados
6/03/20;155;154;1;0;0
7/03/20;219;213;6;0;0
8/03/20;250;243;7;0;0
9/03/20;318;309;9;0;0
10/03/20;346;335;11;0;0
11/03/20;346;329;17;0;0
12/03/20;346;329;22;0;0
13/03/20;346;329;38;0;0
14/03/20;656;329;43;0;0
15/03/20;1,822;1,751;71;0;0
16/03/20;2,315;2,229;86;1;0
17/03/20;2,797;2,680;117;1;0
18/03/20;3,075;2,930;145;1;0
19/03/20;3,841;3,607;234;1;3
20/03/20;4,298;4,035;263;1;4
21/03/20;5,185;4,867;318;1;5
22/03/20;6,184;5,821;363;1;5
23/03/20;7,486;6,269;395;1;5
24/03/20;7,013;6,597;416;1;7
25/03/20;8,040;7,560;480;1;9
26/03/20;9,219;8,639;580;1;9
27/03/20;10,065;9,430;635;5;11
28/03/20;10,896;10,225;671;16;16
29/03/20;12,669;11,817;852;16;18
