Fecha;Pruebas Realizadas;Negativos Acumulados;Confirmados Acumulados;Recuperados Acumulados;Fallecidos Acumulados;Ativos Acumulados
2020/03/06;155;154;1;0;0;1
2020/03/07;219;213;6;0;0;6
2020/03/08;250;243;7;0;0;7
2020/03/09;318;309;9;0;0;9
2020/03/10;346;335;11;0;0;11
2020/03/11;346;329;17;0;0;17
2020/03/12;346;329;22;0;0;22
2020/03/13;346;329;38;0;0;38
2020/03/14;656;329;43;0;0;43
2020/03/15;1,822;1,751;71;0;0;71
2020/03/16;2,315;2,229;86;1;0;85
2020/03/17;2,797;2,680;117;1;0;116
2020/03/18;3,075;2,930;145;1;0;144
2020/03/19;3,841;3,607;234;1;3;230
2020/03/20;4,298;4,035;263;1;4;258
2020/03/21;5,185;4,867;318;1;5;312
2020/03/22;6,184;5,821;363;1;5;357
2020/03/23;7,486;6,269;395;1;5;389
2020/03/24;7,013;6,597;416;1;7;408
2020/03/25;8,040;7,560;480;1;9;470
2020/03/26;9,219;8,639;580;1;9;570
2020/03/27;10,065;9,430;635;5;11;619
2020/03/28;10,896;10,225;671;16;16;639
2020/03/29;12,669;11,817;852;16;18;818
2020/03/30;13,452;12,502;950;53;24;873
2020/03/31;14,463;13,398;1,065;394;30;641
2020/04/01;15,587;14,264;1,323;447;47;829
2020/04/02;16,518;15,104;1,414;537;55;822
